,serial_no,date,delta_t_ms,on-off,active_power_mw,output_voltage_v,output_current_ma,cg_temperature_cel
40589,30,2022-05-13 21:47:59.652,681,1.0,20086.0,1361.0,13990.0,930.0
40591,30,2022-05-13 21:49:11.655,681,1.0,20088.0,1361.0,13990.0,950.0
40593,30,2022-05-13 21:50:11.649,680,1.0,20092.0,1361.0,13990.0,950.0
40595,30,2022-05-13 21:51:23.651,681,1.0,20094.0,1361.0,13990.0,950.0
40597,30,2022-05-13 21:52:31.649,680,1.0,20098.0,1361.0,13990.0,950.0
40599,30,2022-05-13 21:53:51.649,680,1.0,20102.0,1361.0,13990.0,950.0
40601,30,2022-05-13 21:54:51.648,681,1.0,20103.0,1361.0,13990.0,950.0
40603,30,2022-05-13 21:55:59.648,9994,1.0,20104.0,1361.0,13990.0,970.0
40605,30,2022-05-13 21:57:07.651,680,1.0,20107.0,1361.0,13990.0,970.0
40607,30,2022-05-13 21:58:19.651,680,1.0,20108.0,1361.0,13990.0,970.0
40609,30,2022-05-13 21:59:27.652,681,1.0,20111.0,1361.0,13990.0,970.0
40611,30,2022-05-13 22:00:39.651,680,1.0,20113.0,1361.0,13990.0,970.0
40614,30,2022-05-13 22:01:51.649,680,1.0,20115.0,1361.0,13990.0,970.0
40616,30,2022-05-13 22:02:51.648,10863,1.0,2012.0,1361.0,13990.0,970.0
40618,30,2022-05-13 22:03:59.653,680,1.0,20123.0,1362.0,13990.0,970.0
40619,30,2022-05-13 22:04:31.021,12590,1.0,,,,
40621,30,2022-05-13 22:05:11.648,682,1.0,20124.0,1362.0,13990.0,990.0
40623,30,2022-05-13 22:06:23.651,681,1.0,20124.0,1362.0,13990.0,990.0
40625,30,2022-05-13 22:07:35.651,681,1.0,20124.0,1362.0,13990.0,990.0
40627,30,2022-05-13 22:08:47.650,682,1.0,20126.0,1362.0,13990.0,990.0
40629,30,2022-05-13 22:09:47.650,681,1.0,20127.0,1362.0,13990.0,990.0
40631,30,2022-05-13 22:10:59.652,1124,1.0,20128.0,1362.0,13990.0,990.0
40633,30,2022-05-13 22:12:07.653,681,1.0,20129.0,1362.0,13990.0,990.0
40635,30,2022-05-13 22:13:15.652,681,1.0,20129.0,1362.0,13990.0,990.0
40637,30,2022-05-13 22:14:23.650,682,1.0,20128.0,1362.0,13990.0,990.0
40639,30,2022-05-13 22:15:31.649,681,1.0,20124.0,1362.0,13990.0,990.0
40641,30,2022-05-13 22:16:39.651,681,1.0,20124.0,1362.0,13990.0,990.0
40643,30,2022-05-13 22:17:51.650,681,1.0,20124.0,1362.0,13990.0,990.0
40645,30,2022-05-13 22:18:59.651,1124,1.0,20123.0,1361.0,13990.0,990.0
40647,30,2022-05-13 22:20:11.649,680,1.0,20122.0,1361.0,13990.0,990.0
40650,30,2022-05-13 22:21:19.650,680,1.0,20121.0,1361.0,13990.0,990.0
40652,30,2022-05-13 22:22:27.650,681,1.0,20142.0,1363.0,13990.0,980.0
40653,30,2022-05-13 22:22:56.903,12795,1.0,,,,
40655,30,2022-05-13 22:23:35.654,681,1.0,2015.0,1364.0,13990.0,970.0
40657,30,2022-05-13 22:24:35.651,680,1.0,20152.0,1364.0,13990.0,980.0
