,serial_no,date,delta_t_ms,on-off,active_power_mw,output_voltage_v,output_current_ma,cg_temperature_cel,output_voltage_on_off,output_current_on_off,active_power_on_off
198787,30,2022-07-16 08:26:40,841,0.0,13.0,0.0,0.0,0.0,0,0,0
198789,30,2022-07-16 08:26:40,843,0.0,13.0,0.0,0.0,-20.0,0,0,0
198791,30,2022-07-16 08:26:40,841,0.0,13.0,0.0,0.0,-50.0,0,0,0
198889,30,2022-07-16 08:26:40,840,0.0,13.0,0.0,0.0,-150.0,0,0,0
198793,30,2022-07-16 08:26:40,841,0.0,13.0,0.0,0.0,-70.0,0,0,0
198795,30,2022-07-16 08:26:40,874,0.0,13.0,0.0,0.0,-70.0,0,0,0
198797,30,2022-07-16 08:26:40,841,0.0,13.0,0.0,0.0,-100.0,0,0,0
198799,30,2022-07-16 08:26:40,842,0.0,13.0,0.0,0.0,-100.0,0,0,0
198801,30,2022-07-16 08:26:40,842,0.0,13.0,0.0,0.0,-130.0,0,0,0
198803,30,2022-07-16 08:26:40,841,0.0,13.0,0.0,0.0,-130.0,0,0,0
198807,30,2022-07-16 08:26:40,842,0.0,13.0,0.0,0.0,-150.0,0,0,0
198895,30,2022-07-16 08:26:40,874,0.0,13.0,0.0,0.0,-150.0,0,0,0
198926,30,2022-07-16 08:26:40,680,1.0,19988.0,1365.0,13990.0,670.0,1,1,1
198929,30,2022-07-16 08:26:40,680,1.0,20013.0,1365.0,13990.0,750.0,1,1,1
198930,30,2022-07-16 08:26:40,13100,1.0,,,,,0,0,0
198932,30,2022-07-16 08:26:40,680,1.0,20028.0,1365.0,13990.0,790.0,1,1,1
198934,30,2022-07-16 08:26:40,680,1.0,2004.0,1365.0,13990.0,830.0,1,1,0
198924,30,2022-07-16 08:26:40,680,1.0,1996.0,1366.0,13990.0,610.0,1,1,0
198938,30,2022-07-16 08:26:40,680,1.0,20062.0,1365.0,13990.0,870.0,1,1,1
198940,30,2022-07-16 08:26:40,681,1.0,20068.0,1364.0,13990.0,870.0,1,1,1
198942,30,2022-07-16 08:26:40,681,1.0,20077.0,1364.0,13990.0,890.0,1,1,1
198944,30,2022-07-16 08:26:40,682,1.0,20083.0,1364.0,13990.0,910.0,1,1,1
198936,30,2022-07-16 08:26:40,682,1.0,20054.0,1365.0,13990.0,850.0,1,1,1
198948,30,2022-07-16 08:26:40,681,1.0,20097.0,1364.0,13990.0,930.0,1,1,1
198897,30,2022-07-16 08:26:40,843,0.0,13.0,0.0,0.0,-150.0,0,0,0
198903,30,2022-07-16 08:26:40,679,1.0,2006.0,1377.0,13990.0,-90.0,1,1,0
198904,30,2022-07-16 08:26:40,13139,1.0,,,,,0,0,0
198922,30,2022-07-16 08:26:40,682,1.0,19936.0,1366.0,13990.0,530.0,1,1,1
198906,30,2022-07-16 08:26:40,680,1.0,19957.0,1373.0,13990.0,-50.0,1,1,1
198908,30,2022-07-16 08:26:40,681,1.0,19919.0,1372.0,13990.0,,1,1,1
198910,30,2022-07-16 08:26:40,689,1.0,19892.0,1370.0,13990.0,50.0,1,1,1
198918,30,2022-07-16 08:26:40,679,1.0,19893.0,1367.0,13990.0,350.0,1,1,1
198920,30,2022-07-16 08:26:40,682,1.0,1991.0,1367.0,13990.0,450.0,1,1,0
198914,30,2022-07-16 08:26:40,680,1.0,19873.0,1369.0,13990.0,190.0,1,1,1
198912,30,2022-07-16 08:26:40,680,1.0,19875.0,1370.0,13990.0,110.0,1,1,1
